,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
current_language,English,русский,Português (Brasil),Español,Deutsch,Français,简体中文,日本語,Korean,Suomi,,,
booktitle00,Emerald Tablet - volume I,,,,,,,,,,,doesn't need to be translated,
bookdesc00,"Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.\n",,,,,,,,,,,doesn't need to be translated,
booktitle01,Emerald Tablet of Thoth,,,,,,,,,,,doesn't need to be translated,
bookdesc01,"The necessity of concealing the Art is one \nof the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth \nand hell, by the four elements, by the height \nand the depth, by Hermes, by Anubis, and by the \nhowlings of Kerkoros. An oath has been required \nof us to reveal nothing clearly to any \nuninitiated being.\n",,,,,,,,,,,doesn't need to be translated,
booktitle02,Emerald Tablet - volume II,,,,,,,,,,,doesn't need to be translated,
bookdesc02,"Thence is born a spirit white as snow, \nand another spirit red as blood, which two \nspirits are contained in a third hidden thing.\n",,,,,,,,,,,doesn't need to be translated,
booktitle03,Emerald Tablet - volume III,,,,,,,,,,,doesn't need to be translated,
bookdesc03,Heed my warning or death and decay will follow.,,,,,,,,,,,doesn't need to be translated,
booktitle04,Emerald Tablet - volume IV,,,,,,,,,,,doesn't need to be translated,
bookdesc04,"The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it \nis one. Death consists in the separation of the soul from the \nbody, because anything formed out of two, three, or four \ncomponents must disintegrate, and this is death. Understand, \nfurther, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n",,,,,,,,,,,doesn't need to be translated,
booktitle05,Emerald Tablet - volume V,,,,,,,,,,,doesn't need to be translated,
bookdesc05,"And the Lord spake, saying, 'First shalt \nthou take out the Holy Pin. Then, shalt \nthou count to three. No more. No less. \nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou \ntwo, excepting that thou then proceed to three. \nFive is right out. Once at the number three, \nbeing the third number be reached, then, lobbest \nthou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall \nsnuff it.'\n",,,,,,,,,,,doesn't need to be translated,
booktitle06,Emerald Tablet - volume VI,,,,,,,,,,,doesn't need to be translated,
bookdesc06,"Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown -- nothing. \nWe know that next to the Divine Blessing, and the \ndiscovery of the proper foundation, nothing is so \nimportant as unwearied industry and perseverance in \nthis First Operation. It is no wonder, then, that \nso many students of this Art are reduced to beggary; \nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n",,,,,,,,,,,doesn't need to be translated,
booktitle07,Emerald Tablet - volume VII,,,,,,,,,,,doesn't need to be translated,
bookdesc07,"Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment. A \nperson who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ",,,,,,,,,,,doesn't need to be translated,
booktitle08,Emerald Tablet - volume VIII,,,,,,,,,,,doesn't need to be translated,
bookdesc08,"Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n",,,,,,,,,,,doesn't need to be translated,
booktitle09,Emerald Tablet - volume IX,,,,,,,,,,,doesn't need to be translated,
bookdesc09,"In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n",,,,,,,,,,,doesn't need to be translated,
booktitle10,Emerald Tablet - volume X,,,,,,,,,,,doesn't need to be translated,
bookdesc10,"Take, he tells us, the stone of gold, combine with humour which is \npermanent water, set in its vessel, over a gentle fire until liquefaction \ntakes place. Then leave it until the water dries, and the sand and \nwater are combined, one with another; then let the fire be more intense than \nbefore, until it again becomes dry, and is made earth. When this is done, \nunderstand that here is the beginning of the arcanum; but do this many \ntimes, until two-thirds of the water perish, and colours manifest unto you. \n",,,,,,,,,,,doesn't need to be translated,
booktitle11,Emerald Tablet - volume V,,,,,,,,,,,doesn't need to be translated,
bookdesc11,The gods appreciate abnegation of rewards when bringing tribute to them.\nTHE END,,,,,,,,,,,doesn't need to be translated,
booktitle12,Emerald Tablet - volume V,,,,,,,,,,,doesn't need to be translated,
bookdesc12,The gods appreciate abnegation of rewards when bringing tribute to them.\nTHE END,,,,,,,,,,,doesn't need to be translated,
booktitle_corpse,Tabula Smaragdina,,,,,,,,,,,doesn't need to be translated,
bookdesc_corpse,"If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our \nMedicine, which has power to heal all the diseases \nof the flesh.",,,,,,,,,,,doesn't need to be translated,
menu_paused,PAUSED,ПРИОСТАНОВЛЕНО,PAUSADO,EN PAUSA,PAUSE,EN PAUSE,暂停,一旦停止,일시 정지,TAUKO,,,
menu_continue,Continue,Продолжить,Continuar,Reanudar,Weiter,Continuer,继续,続行,계속하기,Jatka,,,
menu_options,Options,Параметры,Opções,Ajustes,Optionen,Options,选项,オプション ,옵션,Asetukset,,,
menu_stats,Stats,Статистика,Estatísticas,Estadísticas,Statistiken,Statistiques,统计,統計,통계,Tilastot,,,
menu_progress,Progress,Прогресс,Progresso,Progreso,Fortschritt,Progression,进展,進行度,진행,Edistys,,,
menu_releasenotes,Release Notes,Заметки о выпуске,Notas da versão,Notas del parche,Versionsinformationen,Notes de version,发行说明,リリースノート,릴리즈 노트,,,,
menu_credits,Credits,Авторы,Créditos,Créditos,Mitwirkende,Crédits,制作组,クレジット,크레딧,Tekijät,,,
menu_newgame,New Game,Новая игра,Novo jogo,Nueva partida,Neues Spiel,Nouvelle partie,新游戏,新規ゲーム,새 게임,Uusi peli,,,
menu_dailyrun,Daily Run,Ежедневное прохождение,Jornada diária,Desafío diario,Täglicher Durchgang,Défi quotidien,每日游戏,デイリーラン,매일 달리기,Päivän peli,,,
menu_saveandquit,Save & Quit,Сохранить и выйти,Salvar e sair,Guardar y salir,Speichern & Beenden,Sauvegarder et quitter,保存并退出,保存して終了,저장 및 종료,Tallenna & lopeta,,,
menu_return,Return,Вернуться,Voltar,Volver,Zurück,Retour,返回,戻る,돌아가기,Takaisin,,,
menu_applyandreturn,Apply & Return,Применить и вернуться,Aplicar e voltar,Aplicar y volver,Anwenden & Zurück,Appliquer et quitter,应用并返回,適用して戻る,적용 및 돌아가기,,,,
menu_cancel,Cancel,Отмена,Cancelar,Cancelar,Abbrechen,Annuler,取消,キャンセル,취소,Peruuta,,,
menu_yes,Yes,Да,Sim,Si,Ja,Oui,是,はい,예,Kyllä,,,
menu_no,No,Нет,Não,No,Nein,Non,否,いいえ,아니오,Ei,,,
menu_ok,Ok,OК,OK,Aceptar,Ok,D'accord,确定,OK,확인,,,,
menu_high,High,Высоко,Alto,Alto,Hoch,Haut,高,高,높음,,,,
menu_medium,Medium,Средне,Médio,Medio,Mittel,Moyen,中,中,보통,,,,
menu_low,Low,Низко,Baixo,Bajo,Niedrig,Bas,低,低,낮음,,,,
option_on,On,Вкл.,Lig.,Activado,An,Activer,开,オン,켜기,Päällä,,,
option_off,Off,Выкл.,Desl.,Desactivado,Aus,Désactiver,关,オフ,끄기,Pois päältä,,,
option_adaptive,Adaptive,Адаптивная,Adaptável,Adaptativa,Adaptiv,Adaptative,自适应,アダプティブ,적응형,Adaptiivinen,,,
menu_newgame_areyousure,Are you sure you want to start a new game? All progress from current run will be lost.,Действительно начать новую игру? Прогресс в текущем прохождении будет потерян.,Começar novo jogo? Todo o progresso da jornada atual será perdido.,¿Seguro que quieres empezar una nueva partida? Se perderá todo el progreso de la partida actual.,"Bist du sicher, dass du ein neues Spiel starten willst? Der gesamte Fortschritt des aktuellen Durchgangs geht verloren.",Voulez-vous vraiment démarrer une nouvelle partie ? Toute la progression de la partie actuelle sera perdue.,确定要开始新的游戏吗？当前游戏的进展将会丢失。,本当に新規のゲームを開始しますか？現在のランでの進行度は失われます。,새 게임을 시작하시겠습니까? 이번 게임의 모든 진행 내역이 사라집니다.,,,,
menuoptions_windowmode,Window mode: $0,Оконный режим: $0,Modo janela: $0,Modo ventana: $0,Fenstermodus: $0,Mode fenêtré : $0,窗口模式：$0,ウィンドウモード：$0,창 모드: $0,Ikkunamoodi: $0,,,
windowmode_windowed,Windowed,Оконный,Janela,Ventana,Fenster,Fenêtré,窗口化,ウィンドウ表示,창 모드,Ikkunoitu,,,
windowmode_fullscreen,Fullscreen (windowed),Полноэкранный (в окне),Tela cheia (em janela),Pantalla completa con bordes,Vollbild (Fenster),Plein écran (fenêtré),全屏（窗口）,フルスクリーン(ウィンドウ表示),전체화면 (창 모드),Koko näyttö (ikkunoitu),,,
windowmode_fullscreen_real,Fullscreen (real),Полноэкранный,Tela cheia (real),Pantalla completa sin bordes,Vollbild (ganz),Plein écran (réel),全屏（完全）,フルスクリーン(リアル),전체화면 (실제),Koko näyttö (aito),,,
menuoptions_resolution,Resolution: $0,Разрешение: $0,Resolução: $0,Resolución: $0,Auflösung: $0,Résolution : $0,分辨率：$0,解像度：$0,해상도: $0,Resoluutio: $0,,,
menuoptions_resolution_illegible, - WARNING: Might be illegible!, — ВНИМАНИЕ: изображение может быть неразличимым!, AVISO: pode ficar ilegível!, - ADVERTENCIA: ¡Podría ser ilegible!, - WARNUNG: Könnte unleserlich sein!, - AVERTISSEMENT : risque d'être illisible !, - 警告：画面可能难以辨识！, - 警告：判読できない可能性があります！, - 경고: 읽을 수 없을지 모릅니다!,,,,
